InvoiceDate,Description,Quantity,Revenue,lag_1,lag_2,lag_3,Year,Month,last_transaction,Unique_Customers,Average_Product_Sales,Product_ID
2010-03, 3 STRIPEY MICE FELTCRAFT,105,196.64999999999998,181.0,63.0,210.0,2010,3,13,13,25.8,0
2010-04, 3 STRIPEY MICE FELTCRAFT,6,11.7,105.0,181.0,63.0,2010,4,1,1,25.8,0
2010-05, 3 STRIPEY MICE FELTCRAFT,6,11.7,6.0,105.0,181.0,2010,5,1,1,25.8,0
2010-06, 3 STRIPEY MICE FELTCRAFT,6,11.7,6.0,6.0,105.0,2010,6,1,1,25.8,0
2010-07, 3 STRIPEY MICE FELTCRAFT,6,11.7,6.0,6.0,6.0,2010,7,1,1,25.8,0
2010-12, 4 PURPLE FLOCK DINNER CANDLES,14,35.699999999999996,61.0,87.0,2.0,2010,12,2,2,14.0,1
2010-03, CAMPHOR WOOD PORTOBELLO MUSHROOM,6,7.5,6.0,12.0,19.0,2010,3,1,1,6.0,2
2010-03, CHERRY BLOSSOM  DECORATIVE FLASK,8,30.0,22.0,86.0,15.0,2010,3,2,2,8.0,3
2010-03, FLAMINGO LIGHTS,36,161.4,73.0,72.0,150.0,2010,3,4,4,20.0,4
2010-04, FLAMINGO LIGHTS,4,19.8,36.0,73.0,72.0,2010,4,1,1,20.0,4
2010-03, HOME SWEET HOME  BLACKBOARD,3,19.049999999999997,21.0,52.0,41.0,2010,3,1,1,3.0,5
2010-03, IVORY PAPER CUP CAKE CASES ,123,64.14,128.0,63.0,28.0,2010,3,5,5,65.0,6
2010-04, IVORY PAPER CUP CAKE CASES ,24,13.200000000000001,123.0,128.0,63.0,2010,4,1,1,65.0,6
2010-05, IVORY PAPER CUP CAKE CASES ,48,26.400000000000002,24.0,123.0,128.0,2010,5,2,2,65.0,6
2010-04, PEACE WOODEN BLOCK LETTERS,12,83.4,18.0,10.0,93.0,2010,4,3,3,12.0,7
2010-03, RED/WHITE DOT MINI CASES,36,253.07999999999998,144.0,137.0,150.0,2010,3,10,10,19.0,8
2010-09, RED/WHITE DOT MINI CASES,2,15.0,36.0,144.0,137.0,2010,9,1,1,19.0,8
2010-05, RIDGED GLASS T-LIGHT HOLDER,27,14.850000000000001,27.0,79.0,93.0,2010,5,1,1,27.0,9
2010-12, SET 2 TEA TOWELS I LOVE LONDON ,165,486.75000000000006,279.0,331.0,95.0,2010,12,32,28,165.0,10
2010-03, SILVER T-LIGHT SETTING,4,27.0,2.0,14.0,17.0,2010,3,1,1,4.0,11
2010-03, WHITE CHERRY LIGHTS,104,608.4000000000001,352.0,428.0,959.0,2010,3,10,10,59.0,12
2010-04, WHITE CHERRY LIGHTS,14,94.5,104.0,352.0,428.0,2010,4,2,2,59.0,12
2010-08,10 COLOUR SPACEBOY PEN,329,279.65,515.0,575.0,610.0,2010,8,16,16,647.0,13
2010-09,10 COLOUR SPACEBOY PEN,576,486.09,329.0,515.0,575.0,2010,9,31,29,647.0,13
2010-10,10 COLOUR SPACEBOY PEN,1024,870.4,576.0,329.0,515.0,2010,10,50,49,647.0,13
2010-11,10 COLOUR SPACEBOY PEN,1006,848.0799999999999,1024.0,576.0,329.0,2010,11,52,47,647.0,13
2010-12,10 COLOUR SPACEBOY PEN,300,254.99999999999997,1006.0,1024.0,576.0,2010,12,17,17,647.0,13
2010-07,12 ASS ZINC CHRISTMAS DECORATIONS,31,65.10000000000001,27.0,36.0,147.0,2010,7,4,4,47.25,14
2010-08,12 ASS ZINC CHRISTMAS DECORATIONS,77,161.70000000000002,31.0,27.0,36.0,2010,8,10,8,47.25,14
2010-09,12 ASS ZINC CHRISTMAS DECORATIONS,69,144.9,77.0,31.0,27.0,2010,9,14,12,47.25,14
2010-10,12 ASS ZINC CHRISTMAS DECORATIONS,12,25.200000000000003,69.0,77.0,31.0,2010,10,1,1,47.25,14
2010-07,12 COLOURED PARTY BALLOONS,119,77.35,139.0,227.0,340.0,2010,7,10,10,147.66666666666666,15
2010-08,12 COLOURED PARTY BALLOONS,100,65.0,119.0,139.0,227.0,2010,8,6,6,147.66666666666666,15
2010-09,12 COLOURED PARTY BALLOONS,201,130.65,100.0,119.0,139.0,2010,9,14,14,147.66666666666666,15
2010-10,12 COLOURED PARTY BALLOONS,179,116.35,201.0,100.0,119.0,2010,10,16,15,147.66666666666666,15
2010-11,12 COLOURED PARTY BALLOONS,239,155.35,179.0,201.0,100.0,2010,11,20,20,147.66666666666666,15
2010-12,12 COLOURED PARTY BALLOONS,48,31.2,239.0,179.0,201.0,2010,12,5,5,147.66666666666666,15
2010-03,12 DAISY PEGS IN WOOD BOX,163,268.95,31.0,76.0,18.0,2010,3,23,23,45.1,16
2010-04,12 DAISY PEGS IN WOOD BOX,37,61.05,163.0,31.0,76.0,2010,4,10,10,45.1,16
2010-05,12 DAISY PEGS IN WOOD BOX,51,84.14999999999999,37.0,163.0,31.0,2010,5,13,12,45.1,16
2010-06,12 DAISY PEGS IN WOOD BOX,15,24.75,51.0,37.0,163.0,2010,6,8,8,45.1,16
2010-07,12 DAISY PEGS IN WOOD BOX,39,64.35,15.0,51.0,37.0,2010,7,9,9,45.1,16
2010-08,12 DAISY PEGS IN WOOD BOX,42,69.29999999999998,39.0,15.0,51.0,2010,8,5,5,45.1,16
2010-09,12 DAISY PEGS IN WOOD BOX,36,59.39999999999999,42.0,39.0,15.0,2010,9,11,10,45.1,16
2010-10,12 DAISY PEGS IN WOOD BOX,11,18.15,36.0,42.0,39.0,2010,10,4,4,45.1,16
2010-11,12 DAISY PEGS IN WOOD BOX,54,89.1,11.0,36.0,42.0,2010,11,9,9,45.1,16
2010-12,12 DAISY PEGS IN WOOD BOX,3,4.949999999999999,54.0,11.0,36.0,2010,12,2,1,45.1,16
2010-03,12 EGG HOUSE PAINTED WOOD,25,187.5,20.0,46.0,24.0,2010,3,12,12,15.666666666666666,17
2010-04,12 EGG HOUSE PAINTED WOOD,12,90.0,25.0,20.0,46.0,2010,4,5,5,15.666666666666666,17
2010-05,12 EGG HOUSE PAINTED WOOD,6,45.0,12.0,25.0,20.0,2010,5,3,3,15.666666666666666,17
2010-06,12 EGG HOUSE PAINTED WOOD,5,37.5,6.0,12.0,25.0,2010,6,3,3,15.666666666666666,17
2010-07,12 EGG HOUSE PAINTED WOOD,7,52.5,5.0,6.0,12.0,2010,7,4,4,15.666666666666666,17
2010-08,12 EGG HOUSE PAINTED WOOD,11,82.5,7.0,5.0,6.0,2010,8,6,6,15.666666666666666,17
2010-09,12 EGG HOUSE PAINTED WOOD,18,135.0,11.0,7.0,5.0,2010,9,6,6,15.666666666666666,17
2010-10,12 EGG HOUSE PAINTED WOOD,16,120.0,18.0,11.0,7.0,2010,10,7,6,15.666666666666666,17
2010-11,12 EGG HOUSE PAINTED WOOD,41,307.5,16.0,18.0,11.0,2010,11,10,9,15.666666666666666,17
2010-03,12 IVORY ROSE PEG PLACE SETTINGS,132,160.44,8.0,59.0,55.0,2010,3,13,12,104.8,18
2010-04,12 IVORY ROSE PEG PLACE SETTINGS,99,121.47,132.0,8.0,59.0,2010,4,10,9,104.8,18
2010-05,12 IVORY ROSE PEG PLACE SETTINGS,170,212.5,99.0,132.0,8.0,2010,5,16,16,104.8,18
2010-06,12 IVORY ROSE PEG PLACE SETTINGS,121,146.12,170.0,99.0,132.0,2010,6,15,12,104.8,18
2010-07,12 IVORY ROSE PEG PLACE SETTINGS,128,160.0,121.0,170.0,99.0,2010,7,12,12,104.8,18
2010-08,12 IVORY ROSE PEG PLACE SETTINGS,107,133.75,128.0,121.0,170.0,2010,8,14,12,104.8,18
2010-09,12 IVORY ROSE PEG PLACE SETTINGS,116,145.0,107.0,128.0,121.0,2010,9,15,14,104.8,18
2010-10,12 IVORY ROSE PEG PLACE SETTINGS,57,71.25,116.0,107.0,128.0,2010,10,13,12,104.8,18
2010-11,12 IVORY ROSE PEG PLACE SETTINGS,99,123.75,57.0,116.0,107.0,2010,11,11,10,104.8,18
2010-12,12 IVORY ROSE PEG PLACE SETTINGS,19,23.75,99.0,57.0,116.0,2010,12,4,4,104.8,18
2010-12,12 MESSAGE CARDS WITH ENVELOPES,54,89.1,508.0,334.0,255.0,2010,12,10,10,54.0,19
2010-03,12 MINI TOADSTOOL PEGS,91,113.75,73.0,45.0,109.0,2010,3,20,20,47.6,20
2010-04,12 MINI TOADSTOOL PEGS,35,43.75,91.0,73.0,45.0,2010,4,8,7,47.6,20
2010-05,12 MINI TOADSTOOL PEGS,59,73.75,35.0,91.0,73.0,2010,5,17,15,47.6,20
2010-06,12 MINI TOADSTOOL PEGS,40,50.0,59.0,35.0,91.0,2010,6,12,10,47.6,20
2010-07,12 MINI TOADSTOOL PEGS,13,16.25,40.0,59.0,35.0,2010,7,1,1,47.6,20
2010-06,12 PENCIL SMALL TUBE WOODLAND,276,179.4,147.0,257.0,69.0,2010,6,28,23,331.42857142857144,21
2010-07,12 PENCIL SMALL TUBE WOODLAND,238,154.70000000000002,276.0,147.0,257.0,2010,7,28,22,331.42857142857144,21
2010-08,12 PENCIL SMALL TUBE WOODLAND,236,153.4,238.0,276.0,147.0,2010,8,21,19,331.42857142857144,21
2010-09,12 PENCIL SMALL TUBE WOODLAND,272,176.8,236.0,238.0,276.0,2010,9,24,22,331.42857142857144,21
2010-10,12 PENCIL SMALL TUBE WOODLAND,480,309.3,272.0,236.0,238.0,2010,10,46,42,331.42857142857144,21
2010-11,12 PENCIL SMALL TUBE WOODLAND,694,451.1,480.0,272.0,236.0,2010,11,62,60,331.42857142857144,21
2010-12,12 PENCIL SMALL TUBE WOODLAND,124,80.60000000000001,694.0,480.0,272.0,2010,12,13,13,331.42857142857144,21
2010-03,12 PENCILS SMALL TUBE POSY,112,72.80000000000001,36.0,26.0,108.0,2010,3,11,11,47.5,22
2010-04,12 PENCILS SMALL TUBE POSY,13,8.450000000000001,112.0,36.0,26.0,2010,4,4,3,47.5,22
2010-05,12 PENCILS SMALL TUBE POSY,44,28.6,13.0,112.0,36.0,2010,5,6,5,47.5,22
2010-06,12 PENCILS SMALL TUBE POSY,54,35.1,44.0,13.0,112.0,2010,6,12,10,47.5,22
2010-07,12 PENCILS SMALL TUBE POSY,49,31.85,54.0,44.0,13.0,2010,7,9,9,47.5,22
2010-08,12 PENCILS SMALL TUBE POSY,13,8.45,49.0,54.0,44.0,2010,8,4,4,47.5,22
2010-12,12 PENCILS SMALL TUBE RED RETROSPOT,351,228.15,1097.0,614.0,144.0,2010,12,25,24,351.0,23
2010-03,12 PENCILS SMALL TUBE RED SPOTTY,426,276.90000000000003,268.0,288.0,518.0,2010,3,32,32,375.77777777777777,24
2010-04,12 PENCILS SMALL TUBE RED SPOTTY,172,111.80000000000001,426.0,268.0,288.0,2010,4,17,17,375.77777777777777,24
2010-05,12 PENCILS SMALL TUBE RED SPOTTY,386,245.5,172.0,426.0,268.0,2010,5,23,20,375.77777777777777,24
2010-06,12 PENCILS SMALL TUBE RED SPOTTY,602,391.3,386.0,172.0,426.0,2010,6,46,41,375.77777777777777,24
2010-07,12 PENCILS SMALL TUBE RED SPOTTY,444,288.6,602.0,386.0,172.0,2010,7,35,29,375.77777777777777,24
2010-08,12 PENCILS SMALL TUBE RED SPOTTY,480,312.0,444.0,602.0,386.0,2010,8,28,27,375.77777777777777,24
